,mean_test_score,std_test_score,params
0,0.9632360255765906,0.006359702695506601,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 1}"
1,0.9739755437274902,0.0014164177362207132,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 2}"
2,0.9766666578457549,0.00018795111409427323,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 5}"
3,0.9771093446164855,0.0006692014676022871,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 10}"
4,0.9774531702290095,0.00034590717234264114,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 15}"
5,0.9775511559340047,0.00037197718099772186,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 20}"
6,0.9777558765833302,0.000359629193894458,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 1, 'n_nodes': 25}"
7,0.9120519139133855,0.04773271773064718,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 1}"
8,0.968246434703427,0.0066092408013022534,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 2}"
9,0.9760035028065703,0.0003267613524821258,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 5}"
10,0.9771784595752683,0.00031717855258717235,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 10}"
11,0.9773823059577605,0.0006894455757174455,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 15}"
12,0.9781032020167322,0.00025361250391791375,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 20}"
13,0.9780437104703552,0.00038168462895990773,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 2, 'n_nodes': 25}"
14,0.8735587533327427,0.0007101984770167578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 1}"
15,0.9478281511296773,0.0376875301399124,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 2}"
16,0.9756885481574422,0.0004782602492844096,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 5}"
17,0.9769737392512401,0.0004416681078661454,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 10}"
18,0.9775244724029072,0.00012542799963320068,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 15}"
19,0.9779002313342943,0.0003963696544922578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 20}"
20,0.9781994381652883,0.0004012192122258222,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 3, 'n_nodes': 25}"
21,0.8735587533327427,0.0007101984770167578,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 4, 'n_nodes': 1}"
22,0.9252620987838241,0.04165137244096486,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 4, 'n_nodes': 2}"
23,0.9758766464720869,0.0005082703504281871,"{'batch_size': 256, 'epochs': 10, 'hidden_layers': 4, 'n_nodes': 5}"
